name,allsides_page,bias,agree,disagree,agree_ratio,agreeance_text
Associated Press,https://www.allsides.com/news-source/associated-press-media-bias,left-center,35467,28192,1.2580519296254256,somewhat agrees
CNN (Online News),https://www.allsides.com/news-source/cnn-media-bias,left-center,63709,54353,1.1721340128419775,somewhat agrees
Fox News (Online News),https://www.allsides.com/news-source/fox-news-media-bias,right,55751,54593,1.0212115106332313,somewhat agrees
Insider,https://www.allsides.com/news-source/insider-media-bias,left-center,5556,7748,0.7170882808466701,somewhat disagrees
National Review (News),https://www.allsides.com/news-source/national-review,right-center,23212,9812,2.3656746840603344,strongly agrees
National Review (Opinion),https://www.allsides.com/news-source/national-review-opinion-media-bias,right,120,96,1.25,somewhat agrees
NBC News (Online),https://www.allsides.com/news-source/nbc-news-media-bias,left-center,15739,14810,1.062727886563133,somewhat agrees
New York Post (News),https://www.allsides.com/news-source/new-york-post,right-center,18940,10072,1.880460683081811,agrees
New York Times (News),https://www.allsides.com/news-source/new-york-times,left-center,34782,44787,0.7766092839440016,somewhat disagrees
New York Times (Opinion),https://www.allsides.com/news-source/new-york-times-opinion-media-bias,left,19975,5957,3.35319791841531,absolutely agrees
Newsmax (News),https://www.allsides.com/news-source/newsmax,right,13266,12216,1.0859528487229861,somewhat agrees
Newsweek,https://www.allsides.com/news-source/newsweek,center,5784,10628,0.5442228076778322,disagrees
One America News Network (OAN),https://www.allsides.com/news-source/one-america-news-network-media-bias,right,3696,1908,1.9371069182389937,agrees
Reuters,https://www.allsides.com/news-source/reuters,center,23352,13985,1.6697890597068288,agrees
The Epoch Times,https://www.allsides.com/news-source/epoch-times-media-bias,right-center,14964,8826,1.6954452753229097,agrees
The Guardian,https://www.allsides.com/news-source/guardian,left-center,17801,11380,1.5642355008787345,agrees
The Hill,https://www.allsides.com/news-source/hill-media-bias,center,19882,27446,0.7244042847773811,somewhat disagrees
Wall Street Journal (News),https://www.allsides.com/news-source/wall-street-journal-media-bias,center,27156,29050,0.9348020654044751,somewhat disagrees
Washington Examiner,https://www.allsides.com/news-source/washington-examiner,right-center,15559,7826,1.9881165346281626,agrees
Washington Post,https://www.allsides.com/news-source/washington-post-media-bias,left-center,40319,29160,1.382681755829904,somewhat agrees
Associated Press,https://www.allsides.com/news-source/associated-press-media-bias,left-center,35496,28221,1.257786754544488,somewhat agrees
CNN (Online News),https://www.allsides.com/news-source/cnn-media-bias,left-center,63743,54382,1.1721341620389099,somewhat agrees
Fox News (Online News),https://www.allsides.com/news-source/fox-news-media-bias,right,55798,54614,1.0216794228586077,somewhat agrees
Insider,https://www.allsides.com/news-source/insider-media-bias,left-center,5566,7752,0.7180082559339526,somewhat disagrees
National Review (News),https://www.allsides.com/news-source/national-review,right-center,23228,9817,2.366099623102781,strongly agrees
